+----------------------------------------------------------------+
|   №  |  Элемент               |   Информация                   |
+----------------------------------------------------------------+
|  1     |#include                           |PREPROCESSOR DIRECTIVE                              
|  12    |;                                  |END OF CONSTRUCTION                                 
|  13    |int                                |DATA TYPE                                           
|  13    |m                                  |VARIABLE (INT)                                      
|  13    |=                                  |ASSIGNMENT OPERATOR                                 
|  13    |5                                  |INTEGER                                             
|  13    |;                                  |END OF CONSTRUCTION                                 
|  14    |int                                |DATA TYPE                                           
|  14    |pos                                |VARIABLE (INT)                                      
|  14    |=                                  |ASSIGNMENT OPERATOR                                 
|  14    |-                                  |ARITHMETIC OPERATOR                                 
|  14    |1                                  |INTEGER                                             
|  14    |;                                  |END OF CONSTRUCTION                                 
|  15    |for                                |KEYWORD                                             
|  15    |(                                  |PARENTHESIS                                         
|  15    |int                                |DATA TYPE                                           
|  15    |i                                  |VARIABLE (INT)                                      
|  15    |=                                  |ASSIGNMENT OPERATOR                                 
|  15    |0                                  |INTEGER                                             
|  15    |;                                  |END OF CONSTRUCTION                                 
|  15    |i                                  |VARIABLE (INT)                                      
|  15    |<=                                 |COMPARISON OPERATOR                                 
|  15    |n                                  |VARIABLE (INT)                                      
|  15    |-                                  |ARITHMETIC OPERATOR                                 
|  15    |m                                  |VARIABLE (INT)                                      
|  15    |;                                  |END OF CONSTRUCTION                                 
|  15    |++                                 |ARITHMETIC OPERATOR                                 
|  15    |i                                  |VARIABLE (INT)                                      
|  15    |)                                  |PARENTHESIS                                         
|  15    |{                                  |PARENTHESIS                                         
|  16    |int                                |DATA TYPE                                           
|  16    |j                                  |VARIABLE (INT)                                      
|  16    |;                                  |END OF CONSTRUCTION                                 
|  17    |for                                |KEYWORD                                             
|  17    |(                                  |PARENTHESIS                                         
|  17    |j                                  |VARIABLE (INT)                                      
|  17    |=                                  |ASSIGNMENT OPERATOR                                 
|  17    |0                                  |INTEGER                                             
|  17    |;                                  |END OF CONSTRUCTION                                 
|  17    |j                                  |VARIABLE (INT)                                      
|  17    |<                                  |COMPARISON OPERATOR                                 
|  17    |m                                  |VARIABLE (INT)                                      
|  17    |;                                  |END OF CONSTRUCTION                                 
|  17    |++                                 |ARITHMETIC OPERATOR                                 
|  17    |j                                  |VARIABLE (INT)                                      
|  17    |)                                  |PARENTHESIS                                         
|  17    |{                                  |PARENTHESIS                                         
|  18    |if                                 |KEYWORD                                             
|  18    |(                                  |PARENTHESIS                                         
|  18    |text                               |VARIABLE (STRING)                                   
|  18    |[                                  |PARENTHESIS                                         
|  18    |i                                  |VARIABLE (INT)                                      
|  18    |+                                  |ARITHMETIC OPERATOR                                 
|  18    |j                                  |VARIABLE (INT)                                      
|  18    |]                                  |PARENTHESIS                                         
|  18    |!=                                 |COMPARISON OPERATOR                                 
|  18    |pattern                            |VARIABLE (STRING)                                   
|  18    |[                                  |PARENTHESIS                                         
|  18    |j                                  |VARIABLE (INT)                                      
|  18    |]                                  |PARENTHESIS                                         
|  18    |)                                  |PARENTHESIS                                         
|  18    |{                                  |PARENTHESIS                                         
|  19    |break                              |KEYWORD                                             
|  19    |;                                  |END OF CONSTRUCTION                                 
|  20    |}                                  |PARENTHESIS                                         
|  21    |}                                  |PARENTHESIS                                         
|  22    |if                                 |KEYWORD                                             
|  22    |(                                  |PARENTHESIS                                         
|  22    |j                                  |VARIABLE (INT)                                      
|  22    |==                                 |COMPARISON OPERATOR                                 
|  22    |m                                  |VARIABLE (INT)                                      
|  22    |)                                  |PARENTHESIS                                         
|  22    |{                                  |PARENTHESIS                                         
|  23    |pos                                |VARIABLE (INT)                                      
|  23    |=                                  |ASSIGNMENT OPERATOR                                 
|  23    |i                                  |VARIABLE (INT)                                      
|  23    |;                                  |END OF CONSTRUCTION                                 
|  24    |break                              |KEYWORD                                             
|  24    |;                                  |END OF CONSTRUCTION                                 
|  25    |}                                  |PARENTHESIS                                         
|  26    |}                                  |PARENTHESIS                                         
|  27    |if                                 |KEYWORD                                             
|  27    |(                                  |PARENTHESIS                                         
|  27    |pos                                |VARIABLE (INT)                                      
|  27    |!=                                 |COMPARISON OPERATOR                                 
|  27    |-                                  |ARITHMETIC OPERATOR                                 
|  27    |1                                  |INTEGER                                             
|  27    |)                                  |PARENTHESIS                                         
|  27    |{                                  |PARENTHESIS                                         
|  28    |std                                |NAMESPACE                                           
|  28    |::                                 |DOUBLE COLON                                        
|  28    |cout                               |KEYWORD                                             
|  28    |<<                                 |OPERATOR                                            
|  28    |"Pattern found at position: "            |STRING                                              
|  28    |<<                                 |OPERATOR                                            
|  28    |pos                                |VARIABLE (INT)                                      
|  28    |<<                                 |OPERATOR                                            
|  28    |std                                |NAMESPACE                                           
|  28    |::                                 |DOUBLE COLON                                        
|  28    |endl                               |KEYWORD                                             
|  28    |;                                  |END OF CONSTRUCTION                                 
|  29    |}                                  |PARENTHESIS                                         
|  29    |else                               |KEYWORD                                             
|  29    |{                                  |PARENTHESIS                                         
|  30    |std                                |NAMESPACE                                           
|  30    |::                                 |DOUBLE COLON                                        
|  30    |cout                               |KEYWORD                                             
|  30    |<<                                 |OPERATOR                                            
|  30    |"Pattern not found."               |STRING                                              
|  30    |<<                                 |OPERATOR                                            
|  30    |std                                |NAMESPACE                                           
|  30    |::                                 |DOUBLE COLON                                        
|  30    |endl                               |KEYWORD                                             
|  30    |;                                  |END OF CONSTRUCTION                                 
|  31    |}                                  |PARENTHESIS                                         
|  32    |return                             |KEYWORD                                             
|  32    |0                                  |INTEGER                                             
|  32    |;                                  |END OF CONSTRUCTION                                 
|  33    |}                                  |PARENTHESIS                                         
+----------------------------------------------------------------+
