  Number  Category         Value
     266  Separator        ,
     267  ~~~ERROR!!!      3.8.0.2.3
     268  Separator        ,
     269  Numeric Literal  3
     270  Separator        ,
     271  Numeric Literal  4.34
     272  Separator        }
     273  Separator        ;
     274  Data type        double
     275  ~~~ERROR!!!      22twentyTwo
     276  Operator         =
     277  Numeric Literal  22.22
     278  Separator        ;
     279  Data type        char
     280  Identifier       letters
     281  Operator         [
     282  Numeric Literal  2
     283  Operator         ]
     284  Operator         =
     285  Separator        {
     286  Separator        '
     287  String Literal   a
     288  Separator        '
     289  Separator        ,
     290  Separator        '
     291  Separator        \n
     292  Separator        '
     293  Separator        }
     294  Separator        ;
     295  Keyword          struct
     296  Identifier       Bird
     297  Identifier       nightingale
     298  Operator         =
     299  Separator        {
     300  Separator        "
     301  String Literal   Earl
     302  Separator        "
     303  Separator        ,
     304  Numeric Literal  30
     305  Separator        }
     306  Separator        ;
     307  Identifier       printf
     308  Separator        (
     309  Separator        "
     310  String Literal   Bird's name: %s
     311  Separator        \n
     312  Separator        "
     313  Separator        ,
     314  Identifier       nightingale
     315  Operator         .
     316  Identifier       name
     317  Separator        )
     318  Separator        ;
     319  Identifier       printf
     320  Separator        (
     321  Separator        "
     322  String Literal   Bird's speed: %d
     323  Separator        \n
     324  Separator        "
     325  Separator        ,
     326  Identifier       nightingale
     327  Operator         .
     328  Identifier       speed
     329  Separator        )
     330  Separator        ;
     331  Keyword          for
     332  Separator        (
     333  Data type        int
     334  Identifier       i
     335  Operator         =
     336  Numeric Literal  0
     337  Separator        ;
     338  Identifier       i
     339  Operator         <
     340  Numeric Literal  4
     341  Separator        ;
     342  Identifier       i
     343  Operator         ++
     344  Separator        )
     345  Separator        {
     346  Namespace        std
     347  Operator         ::
     348  Keyword          cout
     349  Operator         <<
     350  Identifier       numbers
     351  Operator         [
     352  Identifier       i
     353  Operator         ]
     354  Operator         <<
     355  Separator        "
     356  Separator        \n
     357  Separator        "
     358  Separator        ;
     359  Separator        }
     360  Data type        int
     361  Identifier       j
     362  ~~~ERROR!!!      #=
     363  Numeric Literal  0
     364  Separator        ;
     365  Keyword          while
     366  Separator        (
     367  Identifier       j
     368  Operator         <
     369  Numeric Literal  2
     370  Separator        )
     371  Separator        {
     372  Identifier       printf
     373  Separator        (
     374  Separator        "
     375  String Literal   %c
     376  Separator        "
     377  Separator        ,
     378  Identifier       letters
     379  Operator         [
     380  Identifier       j
     381  Operator         ]
     382  Separator        )
     383  Separator        ;
     384  Identifier       j
     385  Operator         ++
     386  Separator        ;
     387  Separator        }
     388  Data type        double
     389  Keyword          switch
     390  Operator         =
     391  Numeric Literal  10
     392  Separator        ;
     393  Data type        char
     394  Identifier       word
     395  Operator         =
     396  Separator        '
     397  String Literal   C
     398  Separator        '
     399  Separator        ;
     400  Keyword          switch
     401  Separator        (
     402  Identifier       word
     403  Separator        )
     404  Separator        {
     405  Keyword          case
     406  Separator        '
     407  String Literal   A
     408  Separator        '
     409  Operator         :
     410  Identifier       printf
     411  Separator        (
     412  Separator        "
     413  String Literal   It's A!
     414  Separator        \n
     415  Separator        "
     416  Separator        )
     417  Separator        ;
     418  Keyword          break
     419  Separator        ;
     420  Keyword          case
     421  Separator        '
     422  String Literal   B
     423  Separator        '
     424  Operator         :
     425  Identifier       printf
     426  Separator        (
     427  Separator        "
     428  String Literal   It's B!
     429  Separator        \n
     430  Separator        "
     431  Separator        )
     432  Separator        ;
     433  Keyword          break
     434  Separator        ;
     435  Keyword          case
     436  Separator        '
     437  String Literal   C
     438  Separator        '
     439  Operator         :
     440  Identifier       printf
     441  Separator        (
     442  Separator        "
     443  String Literal   It's C!
     444  Separator        \n
     445  Separator        "
     446  Separator        )
     447  Separator        ;
     448  Keyword          break
     449  Separator        ;
     450  Keyword          default
     451  Operator         :
     452  Identifier       printf
     453  Separator        (
     454  Separator        "
     455  String Literal   It's nothing(
     456  Separator        \n
     457  Separator        "
     458  Separator        )
     459  Separator        ;
     460  Separator        }
     461  Keyword          return
     462  Numeric Literal  0
     463  Separator        ;
     464  Separator        }
     465  Operator         ========
